Title_1,Title_2,Title_3,Title_4,Part_1,Model_1,Desc_1,Price
For Asus Pro15 2022 K3502Z K6500Z M3502R,"AM-OLED 15.6"" QHD 2880x1620 EDP 40pins 120Hz  Screen",ATNA56AC01,Replacement Screen Display,,,,360
For Asus Vivobook 15 K513EQ,"AM-OLED 15.6"" DCI-P3 FHD 1920*1080 IPS EDP 30Pins",ATNA56YX03,Replacement Screen Display,,,,268
For Lenovo ThinkPad X1,"AM-OLED 14"" 2880×1800 OLED IPS ",ATNA40YK20,Replacement Screen Display,,,,265
For Asus Zenbook 14 UM3402 UX3402,"AM-OLED 14"" 2880×1800",ATNA40YK04,Replacement Screen Display,,,,255
For Asus UM3402YA; Q409ZA-EVO.I5256BL,"AM-OLED 14"" 2880×1800 AM-OLED 1.07B eDP 40pins ",ATNA40YK07,Replacement Screen Display,,,,255
For ASUS ZenBook 14X UX5400,"AM-OLED 14"" 3840×2160 40 Pins  with touch ",ATNA40YN04,Replacement Screen Display,,,,265
For Asus Zenbook 14 M3400 M3400QA,"AM-OLED 14"" 2880×1800",ATNA40YK09,Replacement Screen Display,,,,255
For Lenovo Yoga 7 14ARB7,"AM-OLED 14"" 2880x1800 40Pins 90Hz  5D10S39868  5D10S39870",ATNA40YK08,Replacement Screen Display,,,,265
For Lenovo Thinkpad x1 carbon 10th,"AM-OLED 14"" 2880*1800 Slim 40Pin Glossy  5D11B36616 ",ATNA40YK01,Replacement Screen Display,,,,265
For Lenovo ThinkPad X1 Carbon gen10/11 23year,"AM-OLED 14"" 2880x1800 Slim 40Pin Glossy 90Hz Non-Touch",ATNA40YK15,Replacement Screen Display,,,,265
For Asus Zenbook 14 M3400 M3400QA;ACER GO14,"AM-OLED 14"" 2880×1800 90Hz IPS",ATNA40YK11,Replacement Screen Display,,,,265
For Lenovo T14S GEN3 ,"AM-OLED 14"" 2880×1800 90Hz IPS 5D11B36616",ATNA40YK05,Replacement Screen Display,,,,265
For Lenovo Yoga Slim 6 14IAP8,"AM-OLED 14"" 1920x1200 60Hz 30Pins FHD+  5D11K06153",ATNA40CT01,Replacement Screen Display,,,,265
For Samsung Galaxy Book Flex NP950XDB-KC5US,AM-OLED 1920x1200 60Hz BA59-04568A ,ATNA56YX02,Replacement Screen Display,,,,280
,AM-OLED 3200×2000 Slim eDP40Pin IPS 120Hz Glossy,ATNA60BX01-0,Replacement Screen Display,,,,285
For Lenovo,1920x1080 FHD with Touch 40pin matte;  5D10T44445,R140NWF5 RC 1.1,Replacement Screen Display,,,,200
For Lenovo Chromebook 14E S345-14AST,1920x1080 FHD with Touch;  5D11B07706 Chromebook,R140NWF5 RC 5.1,Replacement Screen Display,,,,200
For  Lenovo ThinkPad T490 T490s 20Q9 20QH 20N2 20N3 20RX 20RY 20NX 20NY T495 T495s FRU 01YN150,1920x1080 FHD with Touch 40pin  5D11B07705  ;Winbook,R140NWF5 RA 2.1,Replacement Screen Display,,,,200
For HP Chromebook 14A G5,1920x1080 40 Pin  w/Added Brackets U/D ,B140HAK03.3,Replacement Screen Display,,,,200
Lenovo ThinkCentre M920Z (10S6) Touch 2.0 AIO ;,1920x1080 30pin IPS Matte Touch,LM238WF5-SSA3/LM238WF5-SSA2 ,Replacement Screen Display,,,,275
HP EliteOne 800 G5;24-DP0014 24-DF0056 24-DP0014,1920x1080 LVDS w/Touch IPS No Brackets,LM238WF5-SSE5 ,Replacement Screen Display,,,,275
"Dell Inspiron 7459 AIO,Dell OptiPlex 7450;Optiplex 5480","1920x1080 LVDS  30pin IPS Matte  Touch , un-locking connector",MV238FHM-N10 ,Replacement Screen Display,,,,225
"ACER ASPIRE C24 865 ,Lenovo AIO520 24ICB AIO;Dell OptiPlex 7760; optiplex 7460/7470","1920x1080 LVDS 30pin IPS Matte  Touch ,60Hz",LM238WF2-SSK3  /2/1  ,Replacement Screen Display,,,,245
Touch FHD LVDS 30pin No Brackets IPS Matte 60Hz ,1920x1080 FHD LVDS 30pin No Brackets IPS Matte 60Hz W/Touch,MV238FHM-K11 ,Replacement Screen Display,,,,248
FOR HP Envy 34-C0054,5120X2160 WUHD,LM340RW2-SSA1,Replacement Screen Display,,,,435
,"1920*1080 eDP 30pin ,PCB bent for Dell",LP160WU1-SPD1,Replacement Screen Display,,,,180
,1920x1080 Slim 144Hz eEP 40Pins 72% NTSC,B173HAN04.4  ,Replacement Screen Display,,,,200
